accepted_name,species_genome_size,Voucher specimen,Generalised location collected,Row,Tree (R.Gallagher sample tree in red),Year planted,1st budded,1st flowered,R.Gallagher samples,index,genome_size,CV sample,CV Solanum,fcm date,
Eucalyptus parvula,Eucalyptus parvula,DN 591,"near Numeralla, NSW",143,"33,34,35,36",1997,,,Batch 4 collected 29.11.15,0.463,1.2,3.47,2.67,11/12/2015,
Eucalyptus dalrympleana,Eucalyptus dalrympleana subsp. 'Alpine',DN 4867,"Mt Buffalo, VIC",210,"06,7,8,9",2006,,,Batch 2 collected 10.11.15,0.463,1.2,2.61,3,19/11/2015,
Eucalyptus barberi,Eucalyptus barberi,DN 1989,"Cherry Tree Hill Forest Reserve, TAS",151,"01,2,3,4",1998,2003,2004,Batch 3 collected 22.11.15,0.464,1.2,4.61,3.05,30/11/2015,
Eucalyptus cladocalyx subsp. petila,Eucalyptus cladocalyx subsp. petila,DN 2569,"Handcock Lookout, SA",174,"17,18,19,20",1999,2004,2006,Batch 4 collected 29.11.15,0.464,1.2,2.86,2.28,10/12/2015,
Eucalyptus benthamii,Eucalyptus benthamii,DN 3203,"Camden, NSW",239,"25,26,27,28",2001,2008,2009,Batch 1 collected 1.11.15,0.464,1.2,2.98,2.75,11/11/2015,
Eucalyptus cerasiformis,Eucalyptus cerasiformis,DN 329,"Lake Johnston, WA",24,"05,6,7,8",1993,1997,1998,Batch 7 collected 30.1.16,0.463821892,1.2,4.54,2.8,10/02/2016,
Eucalyptus merrickiae,Eucalyptus merrickiae,DN 6016,"Scaddan, WA",278,"05,6,7,8",2013,,,Batch 6 collected 10.1.16,0.463821892,1.2,4.64,2.88,19/01/2016,
Eucalyptus newbeyi,Eucalyptus newbeyi,DN 212,"Beaufort Inlet, WA",170,"13,14,15,16",1999,2004,2006,Batch 4 collected 29.11.15,0.464,1.2,8.95,2.39,8/12/2015,
Eucalyptus umbrawarrensis,Eucalyptus umbrawarrensis,DN 2458,"Pine Creek, NT",167,"08,9,10",1999,,,Batch 4 collected 29.11.15,0.464,1.2,3.06,2.22,10/12/2015,
Eucalyptus herbertiana,Eucalyptus herbertiana,DN 6403,"Lake Julius, QLD",247,"06,7,8,9",2013,,,Batch 6 collected 10.1.16,0.464037123,1.2,4.02,2.55,22/01/2016,
Eucalyptus laeliae,Eucalyptus laeliae,DN 1150,"Serpentine Falls, WA",64,"28,29,30,31",1995,2001,2008,Batch 5 collected 6.12.15,0.464,1.2,3.47,2.46,17/12/2015,
Eucalyptus nitens,Eucalyptus nitens,DN 1766,"Big Badja Hill, NSW",144,"24,25,27",1997,,,Batch 7 collected 30.1.16,0.464037123,1.2,3.68,2.83,9/02/2016,
Eucalyptus broviniensis,Eucalyptus broviniensis,DN 6478,"Brovinia State Forest, QLD",245,15,2013,,,Batch 6 collected 10.1.16,0.464252553,1.2,3.99,2.89,19/01/2016,
Eucalyptus camaldulensis subsp. camaldulensis ,Eucalyptus camaldulensis subsp. camaldulensis ,DN 4733,"Minlaton, SA",260,"13,14,15,16",2004,,,Batch 2 collected 10.11.15,0.464,1.2,2.95,2.88,20/11/2015,
Eucalyptus pulverulenta,Eucalyptus pulverulenta,DN 1226,"Lithgow, NSW",94,"10,11,12,13",1996,2001,2001,Batch 3 collected 22.11.15,0.464,1.2,3.6,2.33,30/11/2015,
NA,Eucalyptus sp. Lake Magenta,DN 5509,"Lake Magenta, WA",315,"05,6,7,8",2011,2014,,Batch 4 collected 29.11.15,0.464,1.2,3.96,2.46,9/12/2015,
Eucalyptus brockwayi,Eucalyptus brockwayi,DN 2166,"Norseman, WA",187,"01,2,3,4",2000,2006,2009,Batch 1 collected 1.11.15,0.465,1.2,3.75,2.94,11/11/2015,
Eucalyptus terrica,Eucalyptus terrica,DN 6173,"Coolmunda, Qld",272,"05,6,7,8",2013,,,Batch 2 collected 10.11.15,0.465,1.2,2.35,2.01,18/11/2015,
Eucalyptus angophoroides,Eucalyptus angophoroides,DN 1745,"Genoa, VIC",142,"21,22,23,24",1997,2006,2008,Batch 4 collected 29.11.15,0.465,1.2,2.92,2.18,9/12/2015,
Eucalyptus camaldulensis subsp. refulgens,Eucalyptus camaldulensis subsp. refulgens,DN 4258,"Coongan River, WA",245,"09,10,11,12",2002,,,Batch 6 collected 10.1.16,0.465116279,1.2,3.09,2.4,19/01/2016,
Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,DN 1206,"West MacDonnell Ranges, NT",66,"25,26,27,28",1995,2008,2011,Batch 5 collected 6.12.15,0.465,1.21,3.98,2.73,16/12/2015,
Eucalyptus erythrocorys,Eucalyptus erythrocorys,DN 265,"Lake Logue, WA",42,"20,21,22,23",1994,2000,2001,Batch 5 collected 6.12.15,0.466,1.21,4.59,3.09,20/12/2015,
Eucalyptus blakelyi,Eucalyptus blakelyi,DN 722,"Inverell, NSW",50,"01,2,3,4",1994,2001,2002,Batch 5 collected 6.12.15,0.466,1.21,3.2,2.63,16/12/2015,
Eucalyptus bridgesiana,Eucalyptus bridgesiana,DN 5271,"Mt Canobolas, NSW",306,"09,10,11,12",2010,,,Batch 4 collected 29.11.15,0.466,1.21,3.46,2.5,11/12/2015,
Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,DN 2555,"Silverton, NSW",178,"13,14,15,16",1999,,,Batch 4 collected 29.11.15,0.466,1.21,3.65,2.46,8/12/2015,
Eucalyptus stowardii,Eucalyptus stowardii,DN 281,"Latham, WA",25,"10,11,12,13",1993,1997,1998,Batch 6 collected 10.1.16,0.465766185,1.21,3.9,3.52,18/01/2016,
Eucalyptus alligatrix subsp. limaensis,Eucalyptus alligatrix subsp. limaensis,DN 1773,"Swanpool, VIC",144,"12,13,14,15",1997,2006,2011,Batch 4 collected 29.11.15,0.466,1.21,3.64,2.67,16/12/2015,
Eucalyptus viminalis,Eucalyptus viminalis subsp. siliciana,DN 6108,"Dimboola, VIC",246,"12,13,14,15",2013,,,Batch 6 collected 10.1.16,0.465983225,1.21,6.21,3.03,19/01/2016,
Eucalyptus bunyip,Eucalyptus bunyip,DN 6782,"Bunyip State Park, VIC",331,"09,10,11,12",2015,,,Batch 7 collected 30.1.16,0.466200466,1.21,3.88,2.79,5/02/2016,
Eucalyptus desmondensis,Eucalyptus desmondensis,DN 192,"Desmond, WA",174,"09,10,11,12",1999,2002,2003,Batch 4 collected 29.11.15,0.466,1.21,3.35,2.53,9/12/2015,
Eucalyptus roycei,Eucalyptus roycei,DN 5086,"Shark Bay, WA",301,"24,25,26",2010,,,Batch 7 collected 30.1.16,0.46641791,1.21,4.03,2.27,9/02/2016,
Eucalyptus dwyeri,Eucalyptus dwyeri,DN 751,"Wollar, NSW",48,"25,26,27,28",1994,1997,1998,Batch 5 collected 6.12.15,0.467,1.21,4.03,3.22,14/12/2015,
Eucalyptus annulata,Eucalyptus annulata,DN 206,"Jerramungup, WA",21,"35,36,37",1993,1996,1998,Batch 6 collected 10.1.16,0.466853408,1.21,4.47,3.07,18/01/2016,
Eucalyptus nandewarica,Eucalyptus nandewarica,DN 6164,"Waa Gorge, NSW",276,"05,6,7,8",2013,,,Batch 2 collected 10.11.15,0.467,1.21,2.72,2.59,20/11/2015,
Eucalyptus saxatilis ,Eucalyptus saxatilis ,DN 4883,"Mt Wheeler, VIC",209,"04,5,6,7",2006,2013,,Batch 2 collected 10.11.15,0.467,1.21,2.75,2.36,20/11/2015,
Eucalyptus incrassata,Eucalyptus incrassata ,DN 1117,"Dunn Rock, WA",63,"05,6,7,8",1995,1999,1999,Batch 5 collected 6.12.15,0.467,1.21,4.16,2.86,20/12/2015,
Eucalyptus perangusta,Eucalyptus perangusta,DN 3712,"Cascades, WA",228,"01,2,3,4",2001,2003,2005,Batch 1 collected 1.11.15,0.467,1.21,3.16,2.39,10/11/2015,
Eucalyptus uncinata,Eucalyptus uncinata subsp. 'Mt Short',DN 3575,"Mt Short, WA",236,"17,18,19,20",2001,2005,2007,Batch 1 collected 1.11.15,0.467,1.21,4.26,2.37,9/11/2015,
Eucalyptus ebbanoensis subsp. glauciramula,Eucalyptus ebbanoensis subsp. glauciramula,DN 2726,"Balpe Lakes, WA",183,"01,2,3,4",2000,2008,2009,Batch 1 collected 1.11.15,0.467,1.21,3.63,2.1,11/11/2015,
Eucalyptus incrassata,Eucalyptus incrassata ,DN 3698,"Watheroo, WA",232,"13,14,15,16",2001,2006,2007,Batch 1 collected 1.11.15,0.467,1.21,3.62,2.49,9/11/2015,
Eucalyptus leucophloia subsp. leucophloia,Eucalyptus leucophloia subsp. leucophloia,DN 539,"Newman, WA",41,"26,27,28,29",1994,2002,,Batch 5 collected 6.12.15,0.468,1.21,4.28,2.27,11/12/2015,
Eucalyptus quadrangulata,Eucalyptus quadrangulata,DN 618,"Colo Vale, NSW",55,"01,2,3,4",1994,2000,2001,Batch 5 collected 6.12.15,0.468,1.21,3.67,3.01,16/12/2015,
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis subsp. viminalis,DN 6158,"Mt Kapultar, NSW",273,"09,10,11,12",2013,,,Batch 2 collected 10.11.15,0.468,1.21,2.66,2.61,20/11/2015,
NA,Eucalyptus disclusa,DN 707,"Blackdown Talbeland, QLD",54,"35,36,37",1994,1999,1999,Batch 5 collected 6.12.15,0.468,1.21,3.1,2.87,17/12/2015,
Eucalyptus camaldulensis subsp. minima,Eucalyptus camaldulensis subsp. minima,DN 5233,"Yunta, SA",300,"26,27,28,29",2010,,,Batch 4 collected 29.11.15,0.468,1.21,3.7,2.63,9/12/2015,
Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera,DN 1762,"Bargo, NSW",143,"17,18,19,20",1997,2006,2007,Batch 4 collected 29.11.15,0.468,1.21,3.34,2.58,9/12/2015,
Eucalyptus ebbanoensis subsp. photina,Eucalyptus ebbanoensis subsp. photina,DN 270,"Mt Michael, WA",10,"05,6,7,8",1993,1998,1998,Batch 7 collected 30.1.16,0.468384075,1.21,5.04,2.94,9/02/2016,
Eucalyptus camaldulensis subsp. refulgens ,Eucalyptus camaldulensis subsp. refulgens ,DN 5747,"Lyons River, WA",311,"13,14,15,16",2011,,,Batch 7 collected 30.1.16,0.468603561,1.21,4.06,3.14,8/02/2016,
Eucalyptus dundasii,Eucalyptus dundasii,DN 2175,"Callion, WA",177,"24,25,26,27",1999,2004,2006,Batch 4 collected 29.11.15,0.469,1.21,3.08,2.37,8/12/2015,
Eucalyptus foliosa,Eucalyptus foliosa,DN 161,"Scaddan, WA",16,"32,33,34,35",1993,1995,1996,Batch 6 collected 10.1.16,0.468603561,1.21,3.27,2.6,21/01/2016,
Eucalyptus michaeliana,Eucalyptus michaeliana,DN 650,"Hillgrove, NSW",61,"01,2,3,4",1994,2001,2002,Batch 5 collected 6.12.15,0.469,1.21,3.29,2.69,17/12/2015,
Eucalyptus dolichorhyncha,Eucalyptus dolichorhyncha,DN 152,"Grass Patch, WA",43,"09,10,11,12",1994,1998,1999,Batch 5 collected 6.12.15,0.469,1.21,3.57,2.59,17/12/2015,
Eucalyptus formanii,Eucalyptus formanii,DN 1567,"Pigeon Rock, WA",88,"24,25,26,27",1996,1999,2000,Batch 3 collected 22.11.15,0.469,1.21,2.89,2.2,30/11/2015,
Eucalyptus leptophylla,Eucalyptus leptophylla,DN 4736,"Kangaroo Island, SA",211,"25,26,27,28",2006,2009,2011,Batch 2 collected 10.11.15,0.469,1.21,2.42,2.85,18/11/2015,
Eucalyptus obconica,Eucalyptus obconica,DN 1930,"Ellenbrae Station, WA",150,"05,6,7,8",1998,,,Batch 3 collected 22.11.15,0.469,1.21,3.86,3.84,30/11/2015,
Eucalyptus spathulata subsp. salina,Eucalyptus spathulata subsp. salina,DN 3806,"Quairading, WA",204,"01,2,3,4",2002,2008,2009,Batch 2 collected 10.11.15,0.469,1.21,2.34,1.78,23/11/2015,
Eucalyptus obtusiflora subsp. cowcowensis,Eucalyptus obtusiflora subsp. cowcowensis,DN 2235,"Wyalkatchem, WA",175,"27,28,29,30",1999,2008,2011,Batch 7 collected 30.1.16,0.469043152,1.21,4.28,2.94,10/02/2016,
NA,Eucalyptus sp. Mulga Rock,DN 522,"Mulga Rock, WA",40,"08,9,10,11",1994,1996,1998,Batch 5 collected 6.12.15,0.469,1.22,2.95,2.62,17/12/2015,
Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,DN 4177,"Boulia, QLD",302,"25,26,27,28",2010,,,Batch 7 collected 30.1.16,0.469483568,1.22,3.84,3.05,9/02/2016,
Eucalyptus corticosa,Eucalyptus corticosa,DN 1746,"Narrabarba, NSW",146,"32,33,34,35",1997,2011,2011,Batch 4 collected 29.11.15,0.469,1.22,3,2.55,10/12/2015,
Eucalyptus incrassata,Eucalyptus incrassata (pendulous-fruited form),DN 4572,"Boyatup Hill, WA",268,"08,9,10",2004,2011,2011,Batch 2 collected 10.11.15,0.469,1.22,2.5,2.09,18/11/2015,
Eucalyptus malacoxylon,Eucalyptus malacoxylon,DN 1368,"Second Moonbi Hill, NSW",92,"01,2,3,4",1996,2007,2011,Batch 3 collected 22.11.15,0.469,1.22,3.78,3.1,1/12/2015,
Eucalyptus mannifera,Eucalyptus mannifera subsp. 'Victorian alps',DN 3799,"Mt Buffalo, VIC",244,"06,7,8,9",2002,2013,2013,Batch 6 collected 10.1.16,0.469704086,1.22,3.1,2.53,19/01/2016,
Eucalyptus deflexa,Eucalyptus deflexa,DN 4437,"Lake Tay, WA",269,"11,12,13,14",2004,2011,2011,Batch 2 collected 10.11.15,0.47,1.22,2.34,2.16,20/11/2015,
Eucalyptus interstans,Eucalyptus interstans,DN 667,"Drake, NSW",60,"29,30,31,32",1994,2001,2002,Batch 5 collected 6.12.15,0.47,1.22,2.88,2.5,20/12/2015,
Eucalyptus leptocalyx subsp. leptocalyx,Eucalyptus leptocalyx subsp. leptocalyx,DN 3592,"Circle Valley, WA",232,"05,6,7,8",2001,2004,2005,Batch 7 collected 30.1.16,0.470145745,1.22,2.65,2.16,9/02/2016,
Eucalyptus scopulorum,Eucalyptus scopulorum,DN 2927,"Peregrine Point, NSW",191,"29,30,31,32",2000,2008,2008,Batch 2 collected 10.11.15,0.47,1.22,2.81,2.49,18/11/2015,
Eucalyptus dunnii,Eucalyptus dunnii,DN 1257,"Legume, NSW",94,"31,32",1996,2008,,Batch 3 collected 22.11.15,0.47,1.22,2.69,2.06,26/11/2015,
NA,Eucalyptus sp. Port Lincoln,DN 5905,"Point Bollingbroke, SA",290,"7,8,9,10",2013,,,Batch 6 collected 10.1.16,0.470366886,1.22,3.21,2.34,19/01/2016,
Eucalyptus subtilis ,Eucalyptus subtilis ,DN 3715,"Cascades, WA",228,"29,30,31,32",2001,2004,2007,Batch 1 collected 1.11.15,0.47,1.22,3.17,2.69,11/11/2015,
Eucalyptus foecunda,Eucalyptus foecunda,DN 1152,"Bold Park, WA",62,"25,26,27,28",1995,1999,2002,Batch 5 collected 6.12.15,0.471,1.22,3.44,2.9,16/12/2015,
Eucalyptus loxophleba subsp. gratiae,Eucalyptus loxophleba subsp. gratiae,DN 313,"Harris Nature Reserve, WA",27,"23,24,25,26",1993,1995,1996,Batch 6 collected 10.1.16,0.470588235,1.22,5.1,2.9,18/01/2016,
Eucalyptus angustissima,Eucalyptus angustissima,DN 2264,"Lort River, WA",238,"32,33,34",2001,2008,2009,Batch 1 collected 1.11.15,0.471,1.22,2.57,2.27,9/11/2015,
Eucalyptus densa subsp. improcera,Eucalyptus densa subsp. improcera,DN 185,"Ravensthorpe, WA",15,"24,25,26,27",1993,1995,1996,Batch 6 collected 10.1.16,0.470809793,1.22,3.13,2.99,18/01/2016,
Eucalyptus alaticaulis,Eucalyptus alaticaulis,DN 356,"Mt William Range, VIC",71,"32,33,34,35",1995,2003,2005,Batch 6 collected 10.1.16,0.471031559,1.22,4.24,3.12,21/01/2016,
Eucalyptus grisea,Eucalyptus grisea,DN 1271,"Mt Moffat, QLD",94,"29,30",1996,2001,2003,Batch 3 collected 22.11.15,0.471,1.22,2.65,2.27,26/11/2015,
Eucalyptus cypellocarpa,Eucalyptus cypellocarpa,DN 2946,"Kingstown, NSW",190,"05,6,7,8",2000,2011,2013,Batch 2 collected 10.11.15,0.471,1.22,2.87,2.1,20/11/2015,
Eucalyptus ebbanoensis subsp. ebbanoensis,Eucalyptus ebbanoensis subsp. ebbanoensis,DN 293,"Wongan Hills, WA",10,"23,24,25,26",1993,1997,1997,Batch 6 collected 10.1.16,0.471253534,1.22,3.51,2.67,18/01/2016,
Eucalyptus lockyeri,Eucalyptus lockyeri,DN 1323,"Ravenshoe, QLD",93,"01,2,3,4",1996,1998,1999,Batch 3 collected 22.11.15,0.471,1.22,3.47,2.71,27/11/2015,
NA,Eucalyptus sp. Mootwingie,DN 6502,"Mootwingie, NSW",245,"01,2,3,4",2013,,,Batch 6 collected 10.1.16,0.471253534,1.22,5.02,2.99,19/01/2016,
Eucalyptus botryoides,Eucalyptus botryoides,DN 1739,"Orbost, VIC",140,"17,18,19,20",1997,2005,2006,Batch 4 collected 29.11.15,0.471,1.22,3.24,2.52,10/12/2015,
Eucalyptus forrestiana,Eucalyptus forrestiana,DN 160,"Scaddan, WA",43,"25,26,27",1994,1997,1998,Batch 5 collected 6.12.15,0.472,1.22,2.81,2.28,17/12/2015,
Eucalyptus propinqua,Eucalyptus propinqua,DN 1239,"Telegraph Point, NSW",95,"20,21,22,23,24",1996,2002,2004,Batch 3 collected 22.11.15,0.472,1.22,3.64,2.95,1/12/2015,
Eucalyptus behriana,Eucalyptus behriana,DN 3183,"Edillilie, SA",235,"25,26,27,28",2001,2008,2011,Batch 1 collected 1.11.15,0.472,1.22,3.07,2.33,11/11/2015,
Eucalyptus crucis subsp. crucis,Eucalyptus crucis subsp. crucis,DN 3681,"Moorine Roick, WA",226,"36,37,38",2001,2013,2013,Batch 1 collected 1.11.15,0.472,1.22,3.45,2.8,12/11/2015,
Eucalyptus densa subsp. densa,Eucalyptus densa subsp. densa,DN 1111,"Frank Hann Nat. Park, WA",70,"13,14,15,16",1995,1998,2000,Batch 5 collected 6.12.15,0.472,1.22,3.25,2.98,14/12/2015,
Eucalyptus erythrocorys,Eucalyptus erythrocorys,DN 5081,"Zuytdorp Cliffs, WA",301,"12,13,14",2010,,,Batch 4 collected 29.11.15,0.472,1.22,3.78,2.29,9/12/2015,
Eucalyptus scyphocalyx,Eucalyptus scyphocalyx,DN 5997,"Bilbunya Dunes, WA",282,"09,10,11,12",2013,,,Batch 6 collected 10.1.16,0.471920717,1.22,4.22,3.23,19/01/2016,
Eucalyptus amplifolia subsp. sessiliflora,Eucalyptus amplifolia subsp. sessiliflora,DN 668,"Tenterfield, NSW",52,"05,6,7,8",1994,1998,1998,Batch 5 collected 6.12.15,0.472,1.22,3.46,2.43,16/12/2015,
Eucalyptus exserta,Eucalyptus exserta,DN 1261,"Eldsvoid, QLD",92,"32,33,34",1996,2002,2002,Batch 3 collected 22.11.15,0.472,1.22,3,2.1,27/11/2015,
Eucalyptus sporadica,Eucalyptus sporadica,DN 1122,"Ravensthorpe Range, WA",69,"23,24,25,26",1995,1997,1997,Batch 5 collected 6.12.15,0.472,1.22,4.37,3.11,16/12/2015,
Eucalyptus wandoo subsp. wandoo,Eucalyptus wandoo subsp. wandoo,DN 230,"Stirling Range, WA",171,"27,28,29,30",1999,2011,2013,Batch 4 collected 29.11.15,0.472,1.22,4.07,2.89,11/12/2015,
Eucalyptus paniculata,Eucalyptus paniculata,DN 2903,"Batemans Bay, NSW",198,"14,15,16,17",2000,2009,2011,Batch 2 collected 10.11.15,0.472,1.22,3.1,2.5,23/11/2015,
NA,Eucalyptus sp. Kalbarri,DN 3530,"Kalbarri, WA",224,"05,6,7,8",2001,2006,2008,Batch 1 collected 1.11.15,0.472,1.22,3.35,2.31,10/11/2015,
Eucalyptus sweedmaniana,Eucalyptus sweedmaniana,DN 5487,"Cape Arid, WA",311,"01,2,3,4",2011,,,Batch 4 collected 29.11.15,0.472,1.22,3.77,2.61,20/12/2015,
Eucalyptus camaldulensis subsp. minima,Eucalyptus camaldulensis subsp. minima,DN 6389,"Wilpena Creek, SA",243,"12,13,14,15",2013,,,Batch 6 collected 10.1.16,0.472589792,1.22,4.55,3.37,19/01/2016,
Eucalyptus longirostrata,Eucalyptus longirostrata,DN 2112,"Cracow, QLD",83,"12,13,14,15",1998,2006,2007,Batch 3 collected 22.11.15,0.473,1.22,3.14,2.56,30/11/2015,
NA,Eucalyptus pseudoglobulus,DN 1735,"Metung, VIC",144,"20,21,22,23",1997,2006,2011,Batch 4 collected 29.11.15,0.473,1.22,3.09,2.35,10/12/2015,
Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,DN 823,"Kangaroo Island, SA",71,"28,29,30,31",1995,2001,2003,Batch 5 collected 6.12.15,0.473,1.22,3.5,2.77,20/12/2015,
Eucalyptus camaldulensis subsp. simulata,Eucalyptus camaldulensis subsp. simulata,DN 1314,"Laura, QLD",93,"09,10,11,12",1996,2003,2003,Batch 3 collected 22.11.15,0.473,1.22,3,2.68,1/12/2015,
Eucalyptus xanthonema subsp. xanthonema,Eucalyptus xanthonema subsp. xanthonema,DN 202,"Needilup, WA",18,"23,24,25,26",1993,1995,1996,Batch 6 collected 10.1.16,0.472813239,1.22,4.02,3.04,21/01/2016,
Eucalyptus aspersa,Eucalyptus aspersa,DN 1890,"Borgey Nature Reserve, WA",139,"03,4",1997,2006,,Batch 3 collected 22.11.15,0.473,1.23,2.62,1.77,27/11/2015,
NA,Eucalyptus sp. Southern wheatbelt,DN 5508,"Lake Magenta, WA",314,"05,6,7,8",2011,2013,,Batch 7 collected 30.1.16,0.473260767,1.23,3.51,2.9,9/02/2016,
Eucalyptus acaciiformis,Eucalyptus acaciiformis,DN 6217,"Ebor, NSW",242,"21,22,23,24",2013,,,Batch 6 collected 10.1.16,0.473484848,1.23,5.32,2.84,19/01/2016,
Eucalyptus amplifolia subsp. amplifolia,Eucalyptus amplifolia subsp. amplifolia,DN 604,"Nerriga, NSW",53,"17,18,19,20",1994,1998,1998,Batch 5 collected 6.12.15,0.473,1.23,3.43,2.76,16/12/2015,
Eucalyptus drummondii,Eucalyptus drummondii,DN 1892,"Lol Gray Nature Reserve, WA",140,"01,2,3,4",1997,2004,2005,Batch 3 collected 22.11.15,0.473,1.23,3.28,2.25,27/11/2015,
Eucalyptus goniocalyx subsp. exposa,Eucalyptus goniocalyx subsp. exposa,DN 565,"Mt Aleck, SA",49,"32,33,34,35",1994,2001,2008,Batch 5 collected 6.12.15,0.473,1.23,4.16,2.98,17/12/2015,
Eucalyptus tetraptera,Eucalyptus tetraptera,DN 180,"Jerdacuttup, WA",42,"27,28,29,30",1994,1996,1998,Batch 5 collected 6.12.15,0.473,1.23,3.31,2.22,20/12/2015,
Eucalyptus volcanica,Eucalyptus volcanica,DN 6231,"Tia Falls, NSW",277,"13,14,15,16",2013,,,Batch 2 collected 10.11.15,0.473,1.23,2.68,2.13,20/11/2015,
Eucalyptus volcanica,Eucalyptus volcanica,DN 648,"Wollomombi, NSW",61,"05,6,7,8",1994,2003,2011,Batch 5 collected 6.12.15,0.474,1.23,3.33,2.67,16/12/2015,
Eucalyptus globulus,Eucalyptus globulus,DN 1986,"Kellevie, TAS",153,"21,22,23,24",1998,2011,2011,Batch 3 collected 22.11.15,0.474,1.23,2.86,2.85,1/12/2015,
Eucalyptus jutsonii subsp. kobela,Eucalyptus jutsonii subsp. kobela,DN 4448,"Karara Station, WA",210,"30,31,32,33",2006,2011,2013,Batch 2 collected 10.11.15,0.474,1.23,2,1.71,20/11/2015,
Eucalyptus nudicaulis,Eucalyptus nudicaulis,DN 4184,"Mt Isa, QLD",202,"08,9,10,11",2002,2003,2004,Batch 2 collected 10.11.15,0.474,1.23,2.76,2.39,20/11/2015,
Eucalyptus oligantha ,Eucalyptus oligantha ,DN 5810,"Walcott Inlet, WA",311,"21,22,23,24",2011,,,Batch 6 collected 10.1.16,0.473933649,1.23,3.61,2.61,19/01/2016,
Eucalyptus saligna,Eucalyptus saligna,DN 2924,"Gibraltar Range National Park, NSW",195,"01,2,3,4",2000,2011,2011,Batch 2 collected 10.11.15,0.474,1.23,2.35,2.15,23/11/2015,
Eucalyptus ordiana,Eucalyptus ordiana,DN 6645,"Durack, WA",297,"05,6,7,8",2015,,,Batch 7 collected 30.1.16,0.474158369,1.23,4.51,2.48,8/02/2016,
Eucalyptus rowleyi,Eucalyptus rowleyi,DN 4277,"Bocrabee Hill, WA",201,"01,2,3,4",2002,2009,2011,Batch 7 collected 30.1.16,0.474158369,1.23,3.21,2.21,8/02/2016,
Eucalyptus articulata,Eucalyptus articulata,DN 520,"Mulga Rock, WA",40,"16,17,18,19",1994,1997,1997,Batch 5 collected 6.12.15,0.474,1.23,4.03,2.86,11/12/2015,
Eucalyptus baueriana,Eucalyptus baueriana,DN 1734,"Metung, VIC",142,"30,31,32,33",1997,2005,2005,Batch 4 collected 29.11.15,0.474,1.23,2.97,2.44,10/12/2015,
NA,Eucalyptus biterrainea,DN 2518,"Iron Range, QLD",165,"15,16,17,18",1999,2008,2011,Batch 4 collected 29.11.15,0.474,1.23,4.61,3.12,11/12/2015,
Eucalyptus dealbata,Eucalyptus dealbata,DN 723,"Inverell, NSW",50,"05,6,7,8",1994,2001,2002,Batch 5 collected 6.12.15,0.474,1.23,3.73,3.01,20/12/2015,
Eucalyptus fasciculosa,Eucalyptus fasciculosa,DN 1716,"Salt Creek, SA",137,"19,20,21,22",1997,2003,2004,Batch 4 collected 29.11.15,0.474,1.23,2.86,2.17,9/12/2015,
Eucalyptus articulata,Eucalyptus articulata,DN 520,"Mulga Rock, WA",40,"16,17,18,19",1994,1997,1997,Batch 7 collected 30.1.16,0.474608448,1.23,5.06,3.03,9/02/2016,
Eucalyptus dissimulata ,Eucalyptus dissimulata ,DN 3567,"Hammersley River, WA",220,"09,10,11,12",2001,2005,2005,Batch 1 collected 1.11.15,0.475,1.23,3.45,2.42,10/11/2015,
Eucalyptus obconica,Eucalyptus obconica,DN 6646,"Durack, WA",potted,,,,,Batch 7 collected 30.1.16,0.474608448,1.23,3.21,2.6,8/02/2016,
Eucalyptus scias subsp. apoda,Eucalyptus scias subsp. apoda,DN 6191,"Boonoo Boonoo, NSW",285,"13,14,15,16",2013,,,Batch 6 collected 10.1.16,0.474608448,1.23,3.64,2.93,19/01/2016,
Eucalyptus xanthonema subsp. apposita,Eucalyptus xanthonema subsp. apposita,DN 5062,"Gairdner, WA",304,"32,33",2010,2014,,Batch 4 collected 29.11.15,0.475,1.23,2.77,2.42,9/12/2015,
NA,Eucalyptus brunnea,DN 669,"Girraween National Park, QLD",154,"05,6,7,8",1998,2008,2011,Batch 3 collected 22.11.15,0.475,1.23,3.33,2.69,30/11/2015,
Eucalyptus horistes,Eucalyptus horistes subsp. 'Southern' ,DN 2227,"Cadoux, WA",175,"03,4,5,6",1999,2005,2007,Batch 4 collected 29.11.15,0.475,1.23,2.63,2.44,8/12/2015,
NA,Eucalyptus sp. Mukinbudin,DN 3486,"Elachbutting Hill, WA",223,"09,10,11,12",2001,2005,2007,Batch 1 collected 1.11.15,0.475,1.23,2.55,2.29,10/11/2015,
Eucalyptus morrisii,Eucalyptus morrisii,DN 730,"Mt Boppy, NSW",49,"13,14,15,16",1994,1997,1998,Batch 5 collected 6.12.15,0.475,1.23,3.86,2.73,20/12/2015,
Eucalyptus magnificata ,Eucalyptus magnificata ,DN 2945,"Enmore, NSW",192,"21,22,23,24",2000,2008,2011,Batch 2 collected 10.11.15,0.475,1.23,2.57,2.45,23/11/2015,
