accepted_name,coevol_name,mean_gs,mean_height,mean_SLA,mean_sm,genus
Eucalyptus_diminuta,E_diminuta,1.26,4,NA,0.57,Eucalyptus
Eucalyptus_diptera,E_diptera,1.24,10,30.21,3.86,Eucalyptus
Eucalyptus_disclusa,E_disclusa,NA,NA,56.13,NA,Eucalyptus
Eucalyptus_discreta,E_discreta,1.18,5,28.72,2.07,Eucalyptus
Eucalyptus_dissimulata,E_dissimulata,1.23,3,18.96,0.3252,Eucalyptus
Eucalyptus_distans,E_distans,1.26,7,NA,0.3948,Eucalyptus
Eucalyptus_distuberosa,E_distuberosa,1.32,NA,20,NA,Eucalyptus
Eucalyptus_diversicolor,E_diversicolor,1.14,80,62.66,3.1,Eucalyptus
Eucalyptus_diversifolia,E_diversifolia,1.09,5,31.275,7.1824,Eucalyptus
Eucalyptus_dives,E_dives,1.12,20,NA,5.6,Eucalyptus
Eucalyptus_dolichocera,E_dolichocera,1.33,6,24.05,0.8972,Eucalyptus
Eucalyptus_dolichorhyncha,E_dolichorhyncha,1.21,6,22.12,2.2828,Eucalyptus
Eucalyptus_dolorosa,E_dolorosa,NA,1.5,NA,NA,Eucalyptus
Eucalyptus_doratoxylon,E_doratoxylon,1.12,5,55.68,3.29,Eucalyptus
Eucalyptus_dorrigoensis,E_dorrigoensis,1.18,30,NA,0.6356,Eucalyptus
Eucalyptus_drepanophylla,E_drepanophylla,NA,NA,47.06,NA,Eucalyptus
Eucalyptus_drummondii,E_drummondii,1.23,4,NA,17.25,Eucalyptus
Eucalyptus_dumosa,E_dumosa,1.31,10,NA,0.885,Eucalyptus
Eucalyptus_dundasii,E_dundasii,1.21,15,36.46,2.06,Eucalyptus
Eucalyptus_dunnii,E_dunnii,1.22,50,68.33,3,Eucalyptus
Eucalyptus_dura,E_dura,1.27,25,41.26,0.3764,Eucalyptus
Eucalyptus_dwyeri,E_dwyeri,1.21,10,38.59,1.5,Eucalyptus
Eucalyptus_ebbanoensis,E_ebbanoensis,1.213333333,6,NA,4.683746667,Eucalyptus
Eucalyptus_ecostata,E_ecostata,1.3,NA,NA,NA,Eucalyptus
Eucalyptus_educta,E_educta,1.18,4,NA,1.638,Eucalyptus
Eucalyptus_effusa,E_effusa,1.275,4,34.03,2.4944,Eucalyptus
Eucalyptus_elaeophloia,E_elaeophloia,NA,10,30.63,0.5836,Eucalyptus
Eucalyptus_elata,E_elata,1.08,40,67.64,3.8,Eucalyptus
Eucalyptus_elegans,E_elegans,1.28,NA,NA,0.1056,Eucalyptus
Eucalyptus_elliptica,E_elliptica,1.18,20,NA,0.5236,Eucalyptus
Eucalyptus_erectifolia,E_erectifolia,NA,2.5,NA,2.0952,Eucalyptus
