Sample (Bag),accepted_name,species,dry mass (g),dry mass (g),dry mass (g),Area mm2,Area mm2,Area mm2,SLA cm2/g,SLA cm2/g,SLA cm2/g,mean_SLA,CV SLA,Mean Mass,Mean Area,
154,Eucalyptus strzeleckii,Eucalyptus strzeleckii subsp. _otwayensisi”,0.1863,0.2645,0.2004,1191,1732,1280,63.95,65.48,63.86,64.43,1.42,0.217,1401,
155,Eucalyptus polyanthemos subsp. longior,Eucalyptus polyanthemos subsp. longior,0.4448,0.2988,0.4028,2265,1571,2183,50.92,52.57,54.2,52.56,3.11,0.382,2006,
156,Eucalyptus croajingolensis,Eucalyptus croajingolensis,0.2917,0.4117,0.5318,1775,2489,2859,60.84,60.45,53.76,58.35,6.82,0.412,2374,
157,Eucalyptus gregsoniana,Eucalyptus gregsoniana,0.3404,0.3125,0.2717,1142,1036,965,33.54,33.16,35.5,34.07,3.7,0.308,1047,
158,EucalyptusÊangophoroides,Eucalyptus angophroides,0.5914,0.2651,0.8054,2643,1346,2797,44.68,50.77,34.73,43.4,18.66,0.554,2262,
159,Eucalyptus muelleriana,Eucalyptus muelleriana,0.8129,1.1393,,3217,4032,,39.57,35.39,,37.48,7.89,0.976,3624,
160,Eucalyptus baueriana,Eucalyptus baueriana,0.1588,0.2602,0.2599,1126,1899,1400,70.91,72.98,53.87,65.92,15.91,0.226,1475,
161,Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis,0.251,0.4274,0.2634,1568,1577,1097,62.46,36.91,41.66,47.01,28.92,0.314,1414,
162,Eucalyptus strzeleckii,Eucalyptus strzeleckii subsp. _strzeleckii”,0.2581,0.1741,0.3017,1778,1687,1872,68.88,96.9,62.04,75.94,24.32,0.245,1779,
163,Eucalyptus beyeriana,Eucalyptus beyeriana,0.1931,0.2129,0.2564,1756,1797,2097,90.96,84.39,81.78,85.71,5.52,0.221,1883,
164,Eucalyptus parvula,Eucalyptus parvula,0.0204,0.0255,0.0221,150,167,148,73.5,65.44,67.15,68.7,6.18,0.023,155,
165,Eucalyptus maidenii,Eucalyptus maidenii,1.1385,1.3222,,4192,4651,,36.82,35.18,,36,3.23,1.23,4422,
166,Eucalyptus badjensis,Eucalyptus badjensis,0.3568,0.2157,0.1448,2099,1348,684,58.83,62.51,47.2,56.18,14.22,0.239,1377,
167,Eucalyptus alligatrix subsp. limaensis,Eucalyptus alligatrix subsp. limaensis,0.3355,0.5964,,1493,2454,,44.5,41.15,,42.82,5.54,0.466,1974,
168,Eucalyptus wilcoxii,Eucalyptus wilcoxii,0.1535,0.1692,0.2065,828,836,1033,53.94,49.39,50.03,51.12,4.82,0.176,899,
169,Eucalyptus pseudoglobulus,Eucalyptus pseudoglobulus,1.5134,1.3422,,,,,0,0,#DIV/0!,#DIV/0!,#DIV/0!,1.428,#DIV/0!,
170,Eucalyptus nitens,Eucalyptus nitens,0.6298,0.6301,,3271,2972,,51.94,47.17,,49.55,6.81,0.63,3122,
171,Eucalyptus tereticornis subsp. mediana,Eucalyptus tereticornis subsp. mediana,1.1043,0.4216,,3496,1834,,31.66,43.5,,37.58,22.28,0.763,2665,
172,Eucalyptus longifolia,Eucalyptus longifolia,1.1075,1.1253,,3566,3539,,32.2,31.45,,31.82,1.66,1.116,3553,
